# Poisson-Nernst-Planck system, generated on jotelha-fujitsu-ubuntu-20, 2021-02-03 09:59:33
# All quantities in SI units.
# grid x (m), potential u (V), concentration c (mM)
# x                    u                      c00                    c01                   
 9.400000000000000e-09  8.198985567781814e-17  9.997108717088342e+02  9.997108717088505e+02
 9.500000000000001e-09  2.153447486916140e-17  9.997108717088372e+02  9.997108717088486e+02
 9.600000000000000e-09 -2.294952706575762e-17  9.997108717088396e+02  9.997108717088473e+02
 9.699999999999999e-09 -5.648431907856926e-17  9.997108717088412e+02  9.997108717088464e+02
 9.800000000000000e-09 -8.261426042071175e-17  9.997108717088429e+02  9.997108717088461e+02
 9.899999999999999e-09 -1.041920690780004e-16  9.997108717088441e+02  9.997108717088456e+02
 1.000000000000000e-08 -1.234195908633786e-16  9.997108717088454e+02  9.997108717088455e+02
 1.010000000000000e-08 -1.424360635706367e-16  9.997108717088466e+02  9.997108717088452e+02
 1.020000000000000e-08 -1.635766364200297e-16  9.997108717088481e+02  9.997108717088448e+02
 1.030000000000000e-08 -1.892230993218109e-16  9.997108717088496e+02  9.997108717088443e+02
 1.040000000000000e-08 -2.224744739587672e-16  9.997108717088513e+02  9.997108717088435e+02
 1.050000000000000e-08 -2.667909996837577e-16  9.997108717088535e+02  9.997108717088423e+02
 1.060000000000000e-08 -3.269797500178708e-16  9.997108717088562e+02  9.997108717088402e+02
 1.070000000000000e-08 -4.094699297643938e-16  9.997108717088598e+02  9.997108717088375e+02
 1.080000000000000e-08 -5.230692201517457e-16  9.997108717088648e+02  9.997108717088333e+02
 1.090000000000000e-08 -6.802952962797268e-16  9.997108717088713e+02  9.997108717088275e+02
 1.100000000000000e-08 -8.983996784180349e-16  9.997108717088803e+02  9.997108717088195e+02
 1.110000000000000e-08 -1.201124925349428e-15  9.997108717088926e+02  9.997108717088083e+02
 1.120000000000000e-08 -1.621032320665023e-15  9.997108717089093e+02  9.997108717087926e+02
 1.130000000000000e-08 -2.203298677316154e-15  9.997108717089326e+02  9.997108717087706e+02
 1.140000000000000e-08 -3.010959407536153e-15  9.997108717089643e+02  9.997108717087395e+02
 1.150000000000000e-08 -4.131851166621908e-15  9.997108717090084e+02  9.997108717086960e+02
 1.160000000000000e-08 -5.687725383302251e-15  9.997108717090697e+02  9.997108717086359e+02
 1.170000000000000e-08 -7.847443823369932e-15  9.997108717091540e+02  9.997108717085520e+02
 1.180000000000000e-08 -1.084515338604653e-14  9.997108717092714e+02  9.997108717084357e+02
 1.190000000000000e-08 -1.500596471614159e-14  9.997108717094338e+02  9.997108717082743e+02
 1.200000000000000e-08 -2.078053606685229e-14  9.997108717096594e+02  9.997108717080504e+02
 1.210000000000000e-08 -2.879430874617775e-14  9.997108717099716e+02  9.997108717077391e+02
